,driver,lap,trackStatus,position,grid,performance,trackTemp,airTemp,raining,tyre,tyreLap,track,team,driverPrev,teamPrev,driverNext,teamNext
1101,27,14,0,14,14,0,37.1,24.1,0.0,2,13,9,14,8,8,20,8
81,3,14,0,15,15,0,36.7,23.9,0.0,3,16,9,8,12,12,27,12
149,4,14,0,16,16,0,33.4,24.2,0.0,2,13,9,12,13,13,3,13
217,6,14,0,17,17,0,37.2,23.7,0.0,3,13,9,13,12,12,4,12
557,15,14,0,18,18,0,36.8,23.9,0.0,2,13,9,12,14,14,6,14
1033,26,14,0,19,19,0,38.4,24.3,0.0,2,13,9,14,13,13,15,13
421,10,14,0,20,20,0,37.1,24.1,0.0,0,12,9,13,8,8,26,8
354,9,15,0,1,1,0,36.8,23.9,0.0,3,17,9,8,4,4,9,4
830,22,15,0,2,2,0,36.6,23.8,0.0,3,17,9,4,4,4,9,4
1306,31,15,0,3,3,0,36.6,23.8,0.0,3,17,9,4,6,6,22,6
626,16,15,0,4,4,0,36.4,23.5,0.0,3,17,9,6,10,10,31,10
1238,30,15,0,5,5,0,36.6,23.8,0.0,2,17,9,10,6,6,16,6
286,8,15,0,6,6,0,36.6,23.8,0.0,3,17,9,6,11,11,30,11
490,11,15,0,7,7,0,36.8,23.9,0.0,3,17,9,11,10,10,8,10
898,23,15,0,8,8,0,36.4,23.5,0.0,2,17,9,10,11,11,11,11
966,25,15,0,9,9,0,36.7,23.9,0.0,3,17,9,11,7,7,23,7
14,2,15,0,10,10,0,38.2,24.2,0.0,3,14,9,7,7,7,25,7
1170,29,15,0,11,11,0,37.1,24.1,0.0,3,14,9,7,5,5,2,5
762,21,15,0,12,12,0,36.6,23.8,0.0,3,14,9,5,5,5,29,5
694,20,15,0,13,13,0,36.8,23.9,0.0,3,14,9,5,14,14,21,14
1102,27,15,0,14,14,0,37.1,24.1,0.0,2,14,9,14,8,8,20,8
82,3,15,0,15,15,0,36.7,23.9,0.0,3,17,9,8,12,12,27,12
150,4,15,0,16,16,0,33.4,24.2,0.0,2,14,9,12,13,13,3,13
218,6,15,0,17,17,0,37.2,23.7,0.0,3,14,9,13,12,12,4,12
558,15,15,0,18,18,0,36.8,23.9,0.0,2,14,9,12,14,14,6,14
1034,26,15,0,19,19,0,38.4,24.3,0.0,2,14,9,14,13,13,15,13
422,10,15,0,20,20,0,37.1,24.1,0.0,0,13,9,13,8,8,26,8
355,9,16,0,1,1,0,36.8,23.9,0.0,3,18,9,8,4,4,9,4
831,22,16,0,2,2,0,36.6,23.8,0.0,3,18,9,4,4,4,9,4
1307,31,16,0,3,3,0,36.6,23.8,0.0,3,18,9,4,6,6,22,6
627,16,16,0,4,4,0,36.4,23.5,0.0,3,18,9,6,10,10,31,10
1239,30,16,0,5,5,0,36.6,23.8,0.0,2,18,9,10,6,6,16,6
287,8,16,0,6,6,0,36.6,23.8,0.0,3,18,9,6,11,11,30,11
491,11,16,0,7,7,0,36.8,23.9,0.0,3,18,9,11,10,10,8,10
899,23,16,0,8,8,0,36.4,23.5,0.0,2,18,9,10,11,11,11,11
967,25,16,0,9,9,0,36.7,23.9,0.0,3,18,9,11,7,7,23,7
15,2,16,0,10,10,0,38.2,24.2,0.0,3,15,9,7,7,7,25,7
1171,29,16,0,11,11,0,37.1,24.1,0.0,3,15,9,7,5,5,2,5
763,21,16,0,12,12,0,36.6,23.8,0.0,3,15,9,5,5,5,29,5
695,20,16,0,13,13,0,36.8,23.9,0.0,3,15,9,5,14,14,21,14
1103,27,16,0,14,14,0,37.1,24.1,0.0,2,15,9,14,8,8,20,8
83,3,16,0,15,15,0,36.7,23.9,0.0,3,18,9,8,12,12,27,12
151,4,16,0,16,16,0,33.4,24.2,0.0,2,15,9,12,13,13,3,13
219,6,16,0,17,17,0,37.2,23.7,0.0,3,15,9,13,12,12,4,12
559,15,16,0,18,18,0,36.8,23.9,0.0,2,15,9,12,14,14,6,14
1035,26,16,0,19,19,0,38.4,24.3,0.0,2,15,9,14,13,13,15,13
423,10,16,0,20,20,0,37.1,24.1,0.0,0,14,9,13,8,8,26,8
356,9,17,0,1,1,0,36.8,23.9,0.0,3,19,9,8,4,4,9,4
832,22,17,0,2,2,0,36.6,23.8,0.0,3,19,9,4,4,4,9,4
